,Order,Sample_Site,DATE,Sp,Species,root_leaves,PT,Plot,Treatment,code,aseptate,arbuscule,vesicle,septate,total
ITS98,1,KY,16-Oct,ELCA_Em,ELCA_Em,root,4W,4,W,KY.ELCA_Em.root.4.W,0.28,0.02,0.01,0.07,0.35
ITS6,2,Kessler,16-Jul,SCSC,SCSC,root,3W,3,W,Kessler.SCSC.root.3.W,0.2,0.02,0.01,0.08,0.28
ITS23,3,Kessler,16-Jul,SONU,SONU,root,4W,4,W,Kessler.SONU.root.4.W,0.524271845,0.048543689,0,0,0.524271845
ITS82,4,KY,16-Oct,ELCA_Em,ELCA_Em,root,5C,5,C,KY.ELCA_Em.root.5.C,0.28,0.01,0.05,0.04,0.32
ITS1,5,Kessler,16-Jul,SONU,SONU,root,3C,3,C,Kessler.SONU.root.3.C,0.14,0,0,0.06,0.2
ITS5,6,Kessler,16-Jul,SCSC,SCSC,root,3C,3,C,Kessler.SCSC.root.3.C,0.4,0.11,0.01,0.32,0.72
ITS25,7,Kessler,16-Jul,SONU,SONU,root,4C,4,C,Kessler.SONU.root.4.C,0.31,0.11,0.04,0.16,0.47
ITS4,8,Kessler,16-Jul,SONU,SONU,root,3W,3,W,Kessler.SONU.root.3.W,0.33,0.02,0.05,0.02,0.35
ITS101,9,KY,16-Oct,ELCA_Em,ELCA_Em,root,5W,5,W,KY.ELCA_Em.root.5.W,0.48,0.03,0.12,0.08,0.56
ITS91,10,KY,16-Oct,FEAR_Ep,FEAR_Ep,root,2W,2,W,KY.FEAR_Ep.root.2.W,0.247524752,0.01980198,0.059405941,0.01980198,0.267326733
ITS123,11,Kessler,16-Jul,SONU,SONU,leaves,2W,2,W,Kessler.SONU.leaves.2.W,0,0,0,0,21.08
ITS119,12,Kessler,16-Jul,SCSC,SCSC,leaves,5W,5,W,Kessler.SCSC.leaves.5.W,0,0,0,0,0.07
ITS120,13,Kessler,16-Jul,SCSC,SCSC,leaves,5C,5,C,Kessler.SCSC.leaves.5.C,0,0,0,0,2
ITS117,14,Kessler,16-Jul,SCSC,SCSC,leaves,6W,6,W,Kessler.SCSC.leaves.6.W,0,0,0,0,0
ITS133,15,Kessler,16-Jul,SCSC,SCSC,leaves,1W,1,W,Kessler.SCSC.leaves.1.W,0,0,0,0,1.31372549
ITS113,16,Kessler,16-Jul,SONU,SONU,leaves,6W,6,W,Kessler.SONU.leaves.6.W,0,0,0,0,0.161904762
ITS132,17,Kessler,16-Jul,SONU,SONU,leaves,2C,2,C,Kessler.SONU.leaves.2.C,0,0,0,0,1.611111111
ITS128,18,Kessler,16-Jul,SONU,SONU,leaves,4C,4,C,Kessler.SONU.leaves.4.C,0,0,0,0,1.821428571
ITS8,19,Kessler,16-Jul,SPCO,SPCO,root,6C,6,C,Kessler.SPCO.root.6.C,0.39,0,0.01,0.02,0.41
ITS2,20,Kessler,16-Jul,SPCO,SPCO,root,3C,3,C,Kessler.SPCO.root.3.C,0.118811881,0.03960396,0.00990099,0.03960396,0.158415842
ITS32,21,Kessler,16-Jul,SPCO,SPCO,root,2W,2,W,Kessler.SPCO.root.2.W,0.514563107,0,0,0.077669903,0.59223301
ITS10,22,Kessler,16-Jul,SONU,SONU,root,6W,6,W,Kessler.SONU.root.6.W,0.49,0,0.01,0,0.49
ITS29,23,Kessler,16-Jul,SONU,SONU,root,2C,2,C,Kessler.SONU.root.2.C,0.198019802,0,0,0.01980198,0.217821782
ITS28,24,Kessler,16-Jul,SCSC,SCSC,root,2C,2,C,Kessler.SCSC.root.2.C,0.349514563,0,0.009708738,0.213592233,0.563106796
ITS11,25,Kessler,16-Jul,SONU,SONU,root,6C,6,C,Kessler.SONU.root.6.C,0.28,0,0.01,0.18,0.46
ITS18,26,Kessler,16-Jul,SPCO,SPCO,root,1C,1,C,Kessler.SPCO.root.1.C,0.274509804,0.039215686,0.009803922,0.049019608,0.323529412
ITS35,27,Kessler,16-Jul,SPCO,SPCO,root,2C,2,C,Kessler.SPCO.root.2.C,0.21,0,0.03,0.2,0.41
ITS14,28,Kessler,16-Jul,SCSC,SCSC,root,6W,6,W,Kessler.SCSC.root.6.W,0.28,0,0.01,0.01,0.29
ITS3,29,Kessler,16-Jul,SPCO,SPCO,root,3W,3,W,Kessler.SPCO.root.3.W,0.059405941,0,0,0,0.059405941
ITS158,30,RMBL,16-Aug,FETH,FETH,leaves,7,7,C,RMBL.FETH.leaves.7.C,0,0,0,0,0.207920792
ITS122,31,Kessler,16-Jul,SCSC,SCSC,leaves,4W,4,W,Kessler.SCSC.leaves.4.W,0,0,0,0,0.03
ITS189,32,KY,16-Oct,ELCA_Em,ELCA_Em,leaves,1W,1,W,KY.ELCA_Em.leaves.1.W,0,0,0,0,0
ITS88,33,KY,16-Oct,FEAR_Em,FEAR_Em,root,1W,1,W,KY.FEAR_Em.root.1.W,0.574257426,0.059405941,0.108910891,0.079207921,0.653465347
ITS87,34,KY,16-Oct,FEAR_Ep,FEAR_Ep,root,1W,1,W,KY.FEAR_Ep.root.1.W,0.32,0.01,0.07,0.02,0.34
ITS86,35,KY,16-Oct,ELCA_Em,ELCA_Em,root,1W,1,W,KY.ELCA_Em.root.1.W,0.62,0.03,0.05,0.09,0.71
ITS85,36,KY,16-Oct,ELCA_Ep,ELCA_Ep,root,1W,1,W,KY.ELCA_Ep.root.1.W,0.490384615,0.019230769,0.009615385,0.028846154,0.519230769
