Sample_Site,DATE,Sp,root_leaves,Plot_ID,Plot_num,Treatment,Tube#,Plot,code,1-Methyladenosine,1-Methylhistidine,2_3-Dihydroxybenzoate,2-hydroxyglutaric acid,3_4-Dihydroxyphenylacetate (DOPAC),3-Methylphenylacetic acid,4-Pyridoxate,Acetyllysine,Aconitate,Adenosine,ADP-glucose,AICAR,Alanine/Sarcosine,Allantoate,Allantoin,alpha-Ketoglutarate,aminocaproic acid,AMP/dGMP,Anthranilate,Arginine,Ascorbate,Asparagine,Aspartate,Citraconate,Citrate/isocitrate,Citrulline,Creatine,Creatinine,Cystathionine,Cysteine,Cytidine,Cytosine,dCDP,Deoxyadenosine,deoxycytidine,Deoxyuridine,Dimethylglycine,FAD,GDP,Glucosamine,Glutamine,Glutathione,Glycerate,Guanine,Guanosine,Histamine,Histidine,Histidinol,homocitrulline,Homoserine/Threonine,hydroxybutyrate,Hydroxyisocaproic acid,Hydroxyproline,Indole,Indole-3-carboxylate,Indoleacrylate,Jasmonate,Kynurenic acid,Lactate,L-Argininosuccinate,Leucine/Isoleucine,Lysine,Malate,Methionine,Methionine sulfoxide,myo-Inositol,N-Acetyl-beta-alanine,N-Acetylglutamate,NAD+,NADP+,Nicotinamide,Nicotinate,Ophthalmate,Ornithine,Orotate,Pantothenate,Phenylalanine,Phenyllactic acid,Phenylpropiolic acid,Phenylpyruvate,Phosphoenolpyruvate,pimelic acid,Prephenate,Proline,Pyridoxine,Pyroglutamic acid,Pyruvate,Quinolinate,Ribose phosphate,S-Adenosyl-L-methioninamine,Salicylate,Sedoheptoluse bisphosphate,Serine,Shikimate,S-Methyl-5--thioadenosine,S-Ribosyl-L-homocysteine,Succinate/Methylmalonate,Sucralose,Taurine,Thiamine,Thymidine,Thymine,Trehalose/Sucrose,Tryptophan,Tyrosine,Uracil,Uridine,UTP,Valine/betaine,Vanillin,Xanthine,Xanthurenic acid,Xylitol,xylose
Kessler,42552,SCSC,leaves,1W,1,W,1,1,Kessler.SCSC.leaves.1.W,148598.5309,93322.22331,16082360.43,20792.47796,45994.49559,15195.70029,2231115.573,193454.9461,1195059745,178586.7777,640.48619,84366.25857,136301.4691,0,88960.95984,2202.044074,5437689.52,0,1681.333007,20488.02155,25452.81097,7001296.768,12243.16357,1234482860,60657110.68,6695.319295,85.50581783,645.0765916,0,0,525326.9344,10454.28012,0,4912.437806,146635.4554,1646.596474,57875.44564,406.8808031,0,32377.5906,791098.335,0,12701655.24,14974.04505,179456.8071,562.6812929,931591.9687,179.3987267,0,464902.0568,172597.4535,18556.31734,13569.76494,26530.53869,1835.108717,17820.36239,154259.5495,31976.2096,217323.6043,0,5431811.949,9315.762977,430146523,152290.8913,65604.97551,60386640.55,77981.39079,16789.51028,0,1149.515181,0,7413.041136,0,147.3437806,134075.5142,2165454.456,1996245.837,220326.1508,141.4323213,1063329.089,0,155.4001959,95706.51322,2412277.179,255954.3585,374081.6846,12831949.07,7092.779628,199114.0059,0,10670450.54,0,186166.3075,220463.1734,448.9535749,0,4756928.501,0,8078.232125,0,26027.71792,10633.34966,10757100.88,3603266.405,1625822.723,38910.71499,2528058.766,0,510074.4368,689303.3301,0,175565.8178,3406302.644,992134.1822
Kessler,42552,SCSC,leaves,1C,1,C,2,1,Kessler.SCSC.leaves.1.C,13627.22275,60654.19905,5599712.796,6302.680569,14424.70142,2260.634123,479787.3934,195182.1801,29638644.55,298170.1422,818.5574408,140665.2133,276372.4171,84.22886256,66261.44076,170620.2844,2457572.512,0,180.5035071,55267.69668,1065.731754,169874.9763,135697.5355,66479127.96,11107450.24,11764.85308,76.63585782,462.2815166,0,0,208563.0332,5818.425592,0,7766.292891,91850.32227,12098.05687,82777.18483,2057.931754,8039.762085,7038.666351,1604338.389,110.7818009,4864177.251,3039.994313,260615.7346,1773.565877,366365.9716,50.83291943,0,1889276.777,22948.28436,4348.283412,21454.20853,10166.63507,316.4770616,465.6856872,46825.65877,20863.76303,940032.7962,0,2455480.569,45462.65403,26022635.07,52496.17062,155525.2133,16255526.07,7747.71564,1088.845498,0,0,22.13617062,16571.97156,724.8918483,18969.83886,6132.741232,495202.9384,1600744.076,3896.752607,1711.204739,955139.3365,0,270.1537441,18234.72038,64532.891,114027.2038,169285.8768,820423.981,613.7070142,32676.01896,69.23692891,1143533.649,151012.9858,967438.8626,47468.11374,0,84.53718483,400776.7773,0,16853.47867,0,60651.77251,3737.2,22849327.01,371961.327,671577.6303,5584.406635,1488272.986,0,131266.7299,51675.97156,0,7487.61327,453014.9763,367768.6256
Kessler,42552,SCSC,leaves,2C,2,C,3,2,Kessler.SCSC.leaves.2.C,15568.35603,5080.82393,9108412.451,2759083.658,5935.13035,7486.949416,283517.3152,16843.15175,110416828.8,30659.93191,0,227032.1984,125261.6732,4210.670233,11685.87549,12809.5428,395501.3619,2745.86284,118.6854086,45315.35992,2094.326848,125680.8366,341292.4125,119323930,104416245.1,6442.846304,98.39212062,1652.15856,0,0,50994.35798,1146.566148,0,298.8441634,17510.87549,1118.670233,28325.60311,381.7657588,16083.77432,13494.14397,337360.4086,0,1530463.035,2227.595331,63517.85019,63.72983463,115995.7198,863.7060311,245.9272374,337028.9883,42381.98444,14250.65175,2623.833658,0,0,151.2168288,136467.1206,10698.8716,4229243.191,0,393484.8249,21449.21206,83166819.07,10294.56226,20556.83852,1441661.479,4887.616732,592.252821,0,0,33.70638132,80561.68288,209.5437743,12762.6751,7259.405642,113704.1829,214700.3891,25996.0214,0,123334.3385,121.0568093,141487.2568,2399.547665,46449.05642,0,391174.0272,856727.0428,9876.332685,31090.60311,447.2601167,2438798.638,8559.460117,209327.6265,34935.88521,64326.22568,0,521331.5175,690.9218872,8780.344358,0,25706.75097,1540.062257,6123780.156,86463.8716,123424.9027,12059.893,433039.3969,0,87962.41245,72965.35019,0,27294.74708,861716.537,130715.0778
Kessler,42552,SCSC,leaves,2W,2,W,4,2,Kessler.SCSC.leaves.2.W,106696.3653,84543.44828,8084843.43,16592.77726,7036.416589,29441.82665,944861.137,142248.6486,635513140.7,116100.466,153.0416589,131949.767,448150.4194,1486.475303,22515.56384,6253.315937,4850932.898,0,490.6380242,8983.463187,17345.18173,1665327.12,17005.70363,649533364.4,46287474.37,42198.7698,0,1405.317801,0,0,392179.6831,9311.507922,0,3850.750233,95765.70363,12247.96831,121118.8257,986.0363467,1109.735322,13869.74837,1304643.057,0,16042842.5,4617.863933,355937.1855,0,298322.8332,445.493383,248.683877,1599725.07,120869.3383,18490.77353,26231.08108,3721.962721,656.8726934,2826.289842,165255.2656,36236.85927,5586806.151,26.83335508,4845337.372,18669.54334,382541379.3,76474.30568,113580.5219,45587502.33,109280.4287,7212.079217,193.3476235,1189.438956,116.0483691,21620.23299,0,2831.412861,106908.9469,3312010.252,1609692.451,8402.416589,53.11084809,907016.4026,0,853.7890028,28243.94222,136335.5079,628647.0643,139556.5704,12287073.63,2302.590867,277344.4548,819.0699907,6824649.581,154293.9422,687897.8565,203617.7074,460.028425,991.2730662,3785401.678,0,16650.27959,0,12754.20317,4558.722274,7625749.301,864440.6337,1339822.926,37072.60019,2738922.647,0,516074.7437,827149.4874,0,10748.49953,390756.384,2137631.873
Kessler,42552,SCSC,leaves,3C,3,C,5,3,Kessler.SCSC.leaves.3.C,43739.78821,16131.51013,8906371.087,8369102.21,11974.12523,5110.106814,756622.5599,51775.86556,283101933.7,125871.547,130.7003683,176138.4899,229949.4475,489.857919,42153.72928,1794617.864,1180386.74,0,80.2253407,37919.47514,13605.67219,536195.0276,309100.1842,327094751.4,65604023.94,7106.425414,0,1371.967772,0,0,135471.1786,4515.608656,0,557.5718232,40883.84899,3910.307551,64182.74401,500.0451197,2213.767035,11454.50276,620866.6667,0,7587085.635,3869.697053,197176.4273,124.8561694,178628.5451,648.7506446,44.83696133,873841.8969,75253.26888,6398.166667,11780.42357,976.4134438,62.5290884,1196.198895,92956.44567,6106.790055,3316143.646,0,1178845.304,24055.60773,132164733,24849.98158,42746.20626,11511721.92,21117.91897,3312.493554,0,360.7929098,36.42929098,112434.7145,635.3219153,4880.225599,29784.18969,729325.8748,686367.5875,10020.2302,39.09748619,315860.6814,0,59091.08656,11231.00368,26432.85451,85166.55617,773849.7238,2042365.562,2137.626151,162141.8048,590.622744,2975210.866,140031.9521,422819.2449,117839.5028,107.8767956,101.5694291,1316184.162,0,11395.03683,0,20107.31123,1210.822284,12005589.32,290483.5175,441895.3039,10354.55801,1259050.645,0,119279.0976,208428.0847,0,21016.50092,342436.2799,265910.8656
Kessler,42552,SCSC,leaves,3W,3,W,6,3,Kessler.SCSC.leaves.3.W,68530.35749,22228.98551,8926633.816,37466.46377,9530.782609,5730.90628,1999846.377,128073.1401,682367922.7,58940.34783,109.3488889,186694.1063,361316.9082,0,72355.42029,3259730.435,3869749.758,0,116.097971,39324.18357,17972.72464,846394.7826,16409.54589,689575555.6,35710898.55,6405.177778,0,362.4809662,0,0,245045.2174,6215.762319,0,1063.885024,62483.63285,6376.88599,132975.6522,436.0948792,3396.323671,18643.56522,586103.4783,0,15519111.11,9292.45314,239592.7536,0,240727.4396,470.1076329,272.1398068,1034677.295,132611.7874,161588.7923,13489.68116,5273.921739,187.1589372,2624.079227,147511.2077,15721.42995,1592293.72,0,3866085.024,40339.98068,386224830.9,89300.39614,40788.6087,45121922.71,46831.24638,6380.341063,0,1833.940097,47.83807729,14645.14976,0,5053.561353,62304.34783,1625250.242,1350997.101,26758.28019,340.5533333,715885.7971,0,860.24657,61929.36232,60893.68116,498682.8986,752899.5169,13302763.29,7229.182609,349436.9082,763.1313043,7223763.285,243150.0483,376023.7681,120372.8502,1052.028986,0,4099311.111,0,7925.907246,0,38456.15459,5907.720773,11970086.96,928165.0242,779900.7729,14826.95652,1742569.082,0,260221.8357,723139.2271,0,14272.04831,398804.3478,1448336.232
Kessler,42552,SCSC,leaves,4C,4,C,7,4,Kessler.SCSC.leaves.4.C,30456.27863,21119.33206,14548110.69,5903883.588,14448.2729,3408.686069,802606.4885,58036.41221,337104675.6,90021.32634,90.59236641,145280.2481,248261.0687,2064.207061,50587.23282,1301843.511,1260010.496,0,155.0420802,63636.20229,21199.59924,1230608.779,805402.1947,381337595.4,93418015.27,5955.520038,0,621.7080153,0,78.67647901,142958.0153,3858.378817,0,985.8874046,48084.8855,5690.041985,56301.20229,1485.656489,9313.822519,14522.3187,974187.9771,153.542271,6047598.282,2520.599237,157199.2366,0,231589.7901,3040.587786,350.4051527,1022990.458,107886.7366,18269.75191,8261.891221,2753.965649,82.77256679,0,109042.4618,1188.137405,3213315.84,0,1258166.031,31614.51336,140965935.1,31292.3855,47583.32061,7311832.061,20080.68702,7038.253817,0,119.8578244,47.51973282,107238.4542,1408.236641,7893.980916,25080.5916,678147.4237,886617.8435,10805.05725,0,358577.958,99.85381679,175118.8931,22412.29962,332620.9924,34862.48092,422560.2099,3405168.893,7664.418893,138571.7557,525.2959924,4226847.328,176420.5153,481158.9695,59894.8187,1090.204198,121.8458969,1320109.733,91.03444656,14565.72519,0,33887.58588,1262.78626,9575209.924,461424.6183,444655.1527,12818.82634,1047739.504,0,187990.3626,283205.4389,0,27097.41412,1456391.221,586903.1489
Kessler,42552,SCSC,leaves,4W,4,W,8,4,Kessler.SCSC.leaves.4.W,16841.06134,59307.35151,8655472.249,39523.22298,8953.81889,2118.814995,882099.4158,128599.6105,46643865.63,257121.1295,1237.14703,91427.55599,208394.742,1358.843233,111121.9085,23359.60078,2290467.381,0,567.7237585,17694.89776,18374.83934,1073232.717,272929.6008,118249756.6,8795849.075,33361.97663,89.35952288,330.7038948,0,0,243413.6319,7031.288218,0,14952.56086,143314.5083,19284.42064,45464.39143,5371.325219,5206.674781,10920.02921,1348389.484,0,5993023.369,3050.381694,346241.0906,2614.262902,577627.6534,468.2356378,86.14998053,2429559.883,18103.56378,4020.401168,40545.38462,19138.91918,205.6653359,576.6689387,59150.65239,5170.084713,5069445.959,79.73131451,2287176.241,25013.75852,59382200.58,51570.28238,218352.483,26519104.19,9057.767283,5124.571568,0,0,0,1635.503408,590.6893866,10019.89289,3389.435248,1606968.841,1418469.328,4293.126582,1248.113924,666477.0204,0,69.05725414,42514.95618,105667.8676,61259.29893,851825.9007,221948.1013,152.5924051,33523.73905,92.13452775,2368833.496,0,641725.8033,49764.62512,0,316.6757546,441120.3505,0,8657.735151,0,117850.4382,3114.222006,23831918.21,775736.5141,677826.4849,8267.35443,1637042.843,0,224889.1918,155898.7342,0,20498.77313,146351.9961,281133.9825
Kessler,42552,SCSC,leaves,5C,5,C,9,5,Kessler.SCSC.leaves.5.C,121429.1052,25077.04031,25781681.42,5319.726647,19281.9174,32695.62439,1181020.649,220092.0354,686561651.9,153541.6912,311.9103245,187451.8191,123328.4169,45.8047001,55623.47099,17116.93215,6315116.028,0,133.7744346,46764.87709,30497.85644,297635.1032,21192.68437,715754375.6,69152487.71,6812.215339,28488.63324,27503.19567,0,0,540374.4346,9884.985251,0,13319.52802,166518.7807,37632.33038,181357.3255,379.1430678,1828.59882,24521.67158,957946.0177,126.3999017,15508328.42,8438.848574,375010.5211,0,399197.8368,504.3363815,766.7639135,1357512.291,180870.6981,36709.51819,17913.33333,7485.74238,123.4583088,4337.368732,156293.412,31625.9292,2408278.269,0,6309289.086,58963.2645,253730088.5,126236.9715,136321.4356,85921081.61,103657.9154,10943.3825,0,1128.337266,51.02841691,15249.21337,0,5024.764012,98398.52507,3441837.758,2292370.698,128462.5369,365.7539823,2077925.27,429.96588,384.1558505,43709.9705,100082.7925,504460.2753,299482.4975,9995378.564,17511.89774,333361.6519,368.8850541,11288721.73,288561.0619,554251.3274,152176.7945,1113.817109,235.2443461,4349042.281,0,56008.79056,0,62266.03736,12179.11504,4908023.599,1062583.088,1692832.842,57550.31465,3153872.173,0,584594.6903,1059816.126,0,42278.01377,3684910.521,2122218.289
Kessler,42552,SCSC,leaves,5W,5,W,10,5,Kessler.SCSC.leaves.5.W,15462.31978,109836.2292,5989832.717,2048.659889,16590.56377,3456.031423,1257035.12,231784.658,43887412.2,328390.3882,2189.853974,62362.83734,239544.6396,782.7569316,56465.73937,3169.292052,2914815.157,0,322.6401109,27688.3549,11910,141117.098,126914.1405,104100924.2,10217809.61,7563.791128,53.51060074,24.24262477,0,0,406614.0481,11089.10351,0,22439.77819,178227.7264,24194.65804,95668.1146,1625.303142,3539.400185,6005.354898,453736.414,0,4937586.876,4018.874307,497917.3752,613.9601664,227896.6728,0,0,641202.4954,11683.23475,4104.526802,12038.47505,13820.9427,601.2727357,4662.721811,47465.28651,5426.140481,1292661.738,59.71485213,2911237.523,29319.94455,28479916.82,66353.27172,154579.9445,19313151.57,17027.84658,3200.121996,0,566.6885397,20.7394085,4243.285582,4951.075786,5369.109982,3629.401109,1285209.797,1923296.673,7461.875231,2289.079482,1430211.645,0,253.3147874,24207.13494,80753.01294,62145.20333,162880.8688,919509.7967,506.8918669,51217.72643,0,1603302.218,0,666746.0259,32046.86691,0,406.1804991,422072.8281,0,9220.614603,0,145452.4954,2518.425139,24117347.5,537879.2052,720699.6303,5610.340111,1944875.231,0,150869.0388,146414.6026,0,25395.03697,202460.6285,329356.1922
